Task,CC-GPT-4o
ATMBuildingClosedTask, 0.054 ± 0.012
ATMUnderPeriodicMaintenanceTaskWithConclusion, 0.109 ± 0.022
ATMUnderPeriodicMaintenanceTaskWithConclusionLessExplicit, 0.108 ± 0.021
ATMUnderPeriodicMaintenanceTaskWithoutConclusion, 0.116 ± 0.026
BoundedPredConstraintsBasedOnPredQuantilesTask, 1.321 ± 1.229
CashDepletedinATMScenarioTask, 0.054 ± 0.012
DecreaseInTrafficInPredictionTask, 0.060 ± 0.024
DiffuseHorizontalIrradianceFromCloudStatus, 0.150 ± 0.028
DirectNormalIrradianceFromClearsky, 0.151 ± 0.055
DirectNormalIrradianceFromCloudStatus, 0.117 ± 0.021
ElectricityIncreaseInPredictionTask, 0.008 ± 0.005
ElectricityIncreaseInPredictionWithDistractorText, 0.006 ± 0.004
ElectricityIncreaseInPredictionWithDistractorWithDates, 0.007 ± 0.005
ElectricityIncreaseInPredictionWithSplitContext, 0.008 ± 0.005
ExplicitDiffuseHorizontalIrradianceFromCloudStatus, 0.139 ± 0.023
ExplicitDirectNormalIrradianceFromCloudStatus, 0.123 ± 0.017
ExplicitPressureFromSpeedTask, 0.818 ± 0.260
ExplicitSimilarLocationDaySolarForecastTask, 1.374 ± 0.196
ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow, 0.099 ± 0.051
ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow, 0.105 ± 0.049
ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow, 0.090 ± 0.038
FullCausalContextExplicitEquationBivarLinSVAR, 2.436 ± 1.385
FullCausalContextImplicitEquationBivarLinSVAR, 58068326103.739 ± 58068326097.059
GlobalHorizontalIrradianceFromClearsky, 0.112 ± 0.045
ImplicitPressureFromSpeedTask, 0.652 ± 0.109
ImplicitTrafficForecastTaskwithHolidaysInPredictionWindow, 0.123 ± 0.045
IncreasedWithdrawalScenario, 0.096 ± 0.028
LocaleInfoHalfDaySolarForecastTask, 0.077 ± 0.021
LongNewsElectricityIncreaseInPredictionTask, 0.009 ± 0.005
MediumNewsElectricityIncreaseInPredictionTask, 0.006 ± 0.004
MinimalCausalContextBivarLinSVAR, 0.288 ± 0.060
MinimalInfoHalfDaySolarForecastTask, 0.078 ± 0.025
MontrealFireFieldAndGasConvincingToneExplicitCausalConfoundingTask, 0.137 ± 0.071
MontrealFireFieldAndGasConvincingToneImplicitCausalConfoundingTask, 0.146 ± 0.072
MontrealFireFieldAndGasNeutralToneExplicitCausalConfoundingTask, 0.089 ± 0.052
MontrealFireFieldAndGasNeutralToneImplicitCausalConfoundingTask, 0.092 ± 0.052
MontrealFireFieldAndTrashConvincingToneExplicitCausalConfoundingTask, 0.125 ± 0.071
MontrealFireFieldAndTrashConvincingToneImplicitCausalConfoundingTask, 0.149 ± 0.072
MontrealFireFieldAndTrashNeutralToneExplicitCausalConfoundingTask, 0.088 ± 0.051
MontrealFireFieldAndTrashNeutralToneImplicitCausalConfoundingTask, 0.090 ± 0.054
MontrealFireFieldFireExplicitShortHistoryTask, 0.117 ± 0.040
MontrealFireFieldFireImplicitShortHistoryTask, 0.114 ± 0.041
MontrealFireIceRescueExplicitShortHistoryTask, 0.163 ± 0.067
MontrealFireIceRescueImplicitShortHistoryTask, 0.153 ± 0.100
MontrealFireNauticalRescueAnalogyFullLocalizationMaybeWaterTask, 0.236 ± 0.168
MontrealFireNauticalRescueAnalogyTargetLocalizationMaybeWaterTask, 0.071 ± 0.050
MontrealFireNauticalRescueExplicitShortHistoryTask, 0.065 ± 0.009
MontrealFireNauticalRescueImplicitShortHistoryTask, 0.069 ± 0.008
MontrealFireTrashAndBicycleConvincingToneExplicitCausalConfoundingTask, 0.168 ± 0.054
MontrealFireTrashAndBicycleConvincingToneImplicitCausalConfoundingTask, 0.203 ± 0.057
MontrealFireTrashAndBicycleNeutralToneExplicitCausalConfoundingTask, 0.168 ± 0.069
MontrealFireTrashAndBicycleNeutralToneImplicitCausalConfoundingTask, 0.161 ± 0.058
MontrealFireTrashAndNauticalConvincingToneExplicitCausalConfoundingTask, 0.173 ± 0.056
MontrealFireTrashAndNauticalConvincingToneImplicitCausalConfoundingTask, 0.187 ± 0.046
MontrealFireTrashAndNauticalNeutralToneExplicitCausalConfoundingTask, 0.152 ± 0.065
MontrealFireTrashAndNauticalNeutralToneImplicitCausalConfoundingTask, 0.152 ± 0.065
MontrealFireTrashFireExplicitShortHistoryTask, 0.121 ± 0.034
MontrealFireTrashFireImplicitShortHistoryTask, 0.103 ± 0.025
OraclePredUnivariateConstraintsTask, 0.029 ± 0.016
SensorMaintenanceInPredictionTask, 0.029 ± 0.015
SensorPeriodicMaintenanceTask, 0.192 ± 0.126
SensorSpikeTask, 0.056 ± 0.025
SensorTrendAccumulationTask, 0.276 ± 0.113
ShortNewsElectricityIncreaseInPredictionTask, 0.006 ± 0.003
SimilarLocationDaySolarForecastTask, 1.084 ± 0.149
SimilarLocationWithReferenceDaySolarForecastTask, 0.257 ± 0.116
SpeedFromLoadTask, 0.147 ± 0.042
UnemploymentCountyUsingExplicitMultipleStateData, 0.099 ± 0.034
UnemploymentCountyUsingMultipleStateData, 0.115 ± 0.038
UnemploymentCountyUsingSingleStateData, 0.055 ± 0.014
ZenithInfoHalfDaySolarForecastTask, 0.062 ± 0.037
